filename,rows,columns_after_parse,normal_first,norm_second,decrescent_first,decrescent_second,random_first,random_second,crescent_first,crescent_second
74181.000.matrix,3,33,0.007991552352905273,0.0633535385131836,0.0010178089141845703,0.001039743423461914,0.0034737586975097656,0.015956640243530273,0.10371613502502441,0.10373711585998535
74181.001.matrix,2,24,0.0018038749694824219,0.012931108474731445,0.00072479248046875,0.0007452964782714844,0.0033235549926757812,0.017626523971557617,0.03879714012145996,0.03882122039794922
74181.002.matrix,2,24,0.0019114017486572266,0.0019316673278808594,0.0007183551788330078,0.0007371902465820312,0.0006935596466064453,0.002561330795288086,0.0229339599609375,0.0229644775390625
74181.003.matrix,2,10,0.006217479705810547,,0.00036525726318359375,,0.00630497932434082,,0.00667881965637207,
74181.004.matrix,2,15,0.0005238056182861328,0.0005476474761962891,0.0005152225494384766,0.0005362033843994141,0.0005056858062744141,0.0009045600891113281,0.0022847652435302734,0.0023086071014404297
74181.005.matrix,4,26,0.0017483234405517578,0.0017709732055664062,0.0009982585906982422,0.001020669937133789,0.0013206005096435547,0.001932382583618164,0.03168988227844238,0.03173995018005371
74181.006.matrix,2,17,0.009107589721679688,0.027493715286254883,0.0006349086761474609,0.027347326278686523,0.021530628204345703,0.02532362937927246,0.02657151222229004,0.026604652404785156
74181.007.matrix,2,5,0.0010344982147216797,0.0010671615600585938,0.0002276897430419922,0.001367807388305664,0.00040340423583984375,0.00122833251953125,0.0010845661163330078,0.0011279582977294922
74181.008.matrix,3,19,0.03404641151428223,,0.03404641151428223,,0.03404641151428223,,0.03404641151428223,
74181.009.matrix,3,23,0.023877382278442383,0.023903608322143555,0.00077056884765625,0.0007903575897216797,0.0013964176177978516,0.0014157295227050781,0.029033184051513672,0.029056310653686523
74181.010.matrix,7,34,0.5784175395965576,0.791762113571167,0.1646885871887207,0.2471778392791748,0.186798095703125,0.49568748474121094,1.727532148361206,1.7275640964508057
74181.011.matrix,6,46,5.65641975402832,5.656452178955078,0.3586595058441162,0.35869431495666504,1.2386960983276367,1.317107915878296,27.246856212615967,27.338874340057373
74181.012.matrix,8,35,,,,,,,,
74181.013.matrix,6,39,2.273794412612915,12.342436075210571,0.283221960067749,1.8887858390808105,4.873399257659912,4.873431444168091,22.66058897972107,23.42891812324524
74181.014.matrix,3,21,0.07621216773986816,0.11844635009765625,0.047351837158203125,0.07439088821411133,0.04789090156555176,0.0698862075805664,0.4038431644439697,0.40389418601989746
74181.015.matrix,9,47,,,,,,,,
74181.016.matrix,9,45,,,,,,,,
74181.017.matrix,8,33,,,,,,,,
74181.018.matrix,7,33,0.6556079387664795,0.8818464279174805,0.15892338752746582,0.2144756317138672,0.3837451934814453,0.7765772342681885,5.9317567348480225,5.931816577911377
74181.019.matrix,4,19,0.7446749210357666,0.7805097103118896,0.037424325942993164,0.044280052185058594,0.07195186614990234,0.08095693588256836,0.8067793846130371,0.8068313598632812
74181.020.matrix,12,38,,,,,,,,
74181.021.matrix,21,55,,,,,,,,
74181.022.matrix,8,43,,,,,,,,
74181.023.matrix,8,47,,,,,,,,
74181.024.matrix,12,46,,,,,,,,
74181.025.matrix,10,49,,,,,,,,
74181.026.matrix,5,30,,,,,,,,
74181.027.matrix,6,28,,,,,,,,
74181.028.matrix,10,45,,,,,,,,
74181.029.matrix,10,42,,,,,,,,
74181.030.matrix,12,46,,,,,,,,
74181.031.matrix,12,54,,,,,,,,
74181.032.matrix,42,57,,,,,,,,
74181.033.matrix,18,52,,,,,,,,
74181.034.matrix,15,45,,,,,,,,
74181.035.matrix,11,56,,,,,,,,
74181.036.matrix,14,52,,,,,,,,
74181.037.matrix,9,42,,,,,,,,
74181.038.matrix,17,51,,,,,,,,
74181.039.matrix,14,52,,,,,,,,
74181.040.matrix,18,56,,,,,,,,
74181.041.matrix,16,53,,,,,,,,
74181.042.matrix,28,53,,,,,,,,
74181.043.matrix,9,54,,,,,,,,
74181.044.matrix,19,59,,,,,,,,
74181.045.matrix,21,54,,,,,,,,
74181.046.matrix,40,59,,,,,,,,
74181.047.matrix,33,52,,,,,,,,
74181.048.matrix,18,52,,,,,,,,
74181.049.matrix,17,53,,,,,,,,
74181.050.matrix,31,51,,,,,,,,
74181.051.matrix,17,56,,,,,,,,
74181.052.matrix,11,55,,,,,,,,
74181.053.matrix,35,53,,,,,,,,
