filename,columns_after_dz,columns_after_dz_dd,time_dz,memory_dz,termination_status_dz,time_dz_dd,memory_dz_dd,termination_status_dz_dd
74181.000.matrix,33,7,,,TOO LARGE,0.04510378837585449,67.24609375,TERMINATED
74181.001.matrix,24,3,,,TOO LARGE,0.010305166244506836,22.84375,TERMINATED
74181.002.matrix,24,3,,,TOO LARGE,0.007420778274536133,8.6689453125,TERMINATED
74181.003.matrix,10,2,0.4117448329925537,75.013671875,TERMINATED,0.002331256866455078,4.49609375,TERMINATED
74181.004.matrix,15,3,0.030900955200195312,16.416015625,TERMINATED,0.004849910736083984,9.41015625,TERMINATED
74181.005.matrix,26,7,,,TOO LARGE,0.019084453582763672,16.4462890625,TERMINATED
74181.006.matrix,17,3,,,TIME LIMIT,0.004418849945068359,9.1416015625,TERMINATED
74181.007.matrix,5,3,0.0103759765625,10.0595703125,TERMINATED,0.00419926643371582,6.7685546875,TERMINATED
74181.008.matrix,19,4,,,TOO LARGE,0.002680063247680664,8.484375,TERMINATED
74181.009.matrix,23,7,,,TOO LARGE,0.019887685775756836,18.3427734375,TERMINATED
74181.010.matrix,34,10,,,TOO LARGE,0.35929393768310547,104.103515625,TERMINATED
74181.011.matrix,46,12,,,TOO LARGE,2.20279860496521,1042.029296875,TERMINATED
74181.012.matrix,35,12,,,TOO LARGE,5.235940933227539,295.9140625,TERMINATED
74181.013.matrix,39,11,,,TOO LARGE,1.324317216873169,212.0869140625,TERMINATED
74181.014.matrix,21,4,,,TOO LARGE,0.005326986312866211,9.5595703125,TERMINATED
74181.015.matrix,47,16,,,TOO LARGE,,,TIME LIMIT
74181.016.matrix,45,10,,,TOO LARGE,0.18703699111938477,125.4111328125,TERMINATED
74181.017.matrix,33,14,,,TOO LARGE,21.214436531066895,690.205078125,TERMINATED
74181.018.matrix,33,10,,,TOO LARGE,0.5136001110076904,94.6640625,TERMINATED
74181.019.matrix,19,4,,,TOO LARGE,0.005499839782714844,14.7451171875,TERMINATED
74181.020.matrix,38,15,,,TOO LARGE,,,TIME LIMIT
74181.021.matrix,55,23,,,TOO LARGE,,,TOO LARGE
74181.022.matrix,43,11,,,TOO LARGE,3.0352985858917236,266.318359375,TERMINATED
74181.023.matrix,47,13,,,TOO LARGE,26.861733198165894,1554.3994140625,TERMINATED
74181.024.matrix,46,18,,,TOO LARGE,,,TIME LIMIT
74181.025.matrix,49,16,,,TOO LARGE,,,TIME LIMIT
74181.026.matrix,30,6,,,TOO LARGE,0.014339208602905273,18.9599609375,TERMINATED
74181.027.matrix,28,6,,,TOO LARGE,0.023602008819580078,33.015625,TERMINATED
74181.028.matrix,45,17,,,TOO LARGE,,,TIME LIMIT
74181.029.matrix,42,14,,,TOO LARGE,,,TIME LIMIT
74181.030.matrix,46,17,,,TOO LARGE,,,TIME LIMIT
74181.031.matrix,54,20,,,TOO LARGE,,,TOO LARGE
74181.032.matrix,57,24,,,TOO LARGE,,,TOO LARGE
74181.033.matrix,52,20,,,TOO LARGE,,,TOO LARGE
74181.034.matrix,45,17,,,TOO LARGE,,,TIME LIMIT
74181.035.matrix,56,18,,,TOO LARGE,,,TIME LIMIT
74181.036.matrix,52,22,,,TOO LARGE,,,TOO LARGE
74181.037.matrix,42,11,,,TOO LARGE,3.508866786956787,287.5517578125,TERMINATED
74181.038.matrix,51,22,,,TOO LARGE,,,TOO LARGE
74181.039.matrix,52,20,,,TOO LARGE,,,TOO LARGE
74181.040.matrix,56,23,,,TOO LARGE,,,TOO LARGE
74181.041.matrix,53,19,,,TOO LARGE,,,TOO LARGE
74181.042.matrix,53,22,,,TOO LARGE,,,TOO LARGE
74181.043.matrix,54,17,,,TOO LARGE,,,TIME LIMIT
74181.044.matrix,59,25,,,TOO LARGE,,,TOO LARGE
74181.045.matrix,54,23,,,TOO LARGE,,,TOO LARGE
74181.046.matrix,59,28,,,TOO LARGE,,,TOO LARGE
74181.047.matrix,52,28,,,TOO LARGE,,,TOO LARGE
74181.048.matrix,52,21,,,TOO LARGE,,,TOO LARGE
74181.049.matrix,53,23,,,TOO LARGE,,,TOO LARGE
74181.050.matrix,51,26,,,TOO LARGE,,,TOO LARGE
74181.051.matrix,56,24,,,TOO LARGE,,,TOO LARGE
74181.052.matrix,55,18,,,TOO LARGE,,,TIME LIMIT
74181.053.matrix,53,28,,,TOO LARGE,,,TOO LARGE
74182.000.matrix,4,3,0.0021848678588867188,8.47265625,TERMINATED,0.0015301704406738281,6.7685546875,TERMINATED
74182.001.matrix,2,1,0.0012793540954589844,4.2587890625,TERMINATED,0.0007259845733642578,3.82421875,TERMINATED
74182.002.matrix,3,1,0.001764535903930664,4.6953125,TERMINATED,0.0007236003875732422,3.82421875,TERMINATED
74182.003.matrix,3,3,0.0014624595642089844,6.7685546875,TERMINATED,0.0014789104461669922,6.7685546875,TERMINATED
74182.004.matrix,3,3,0.0014448165893554688,6.7685546875,TERMINATED,0.0014424324035644531,6.7685546875,TERMINATED
